zone_id,counter,date,day_of_week,is_weekend,month,is_summer,temperature_f,precip_chance,nearby_event_type,base_foot_traffic,foot_traffic
belltown,Elliott Bay Trail (Myrtle Edwards),2024-06-30,6,1,6,1,65.8,0.07,none,3700,4353
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-01,0,0,7,1,65.0,0.45,none,3700,4288
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-02,1,0,7,1,62.5,0.0,none,3700,5018
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-03,2,0,7,1,63.2,0.0,none,3700,5225
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-04,3,0,7,1,65.1,0.0,none,3700,5595
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-05,4,0,7,1,68.6,0.0,none,3700,4693
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-06,5,1,7,1,70.7,0.0,none,3700,4895
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-07,6,1,7,1,72.8,0.0,none,3700,4909
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-08,0,0,7,1,75.4,0.0,none,3700,4119
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-09,1,0,7,1,76.5,0.0,none,3700,4346
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-10,2,0,7,1,74.1,0.0,none,3700,4696
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-11,3,0,7,1,69.7,0.0,none,3700,4953
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-12,4,0,7,1,67.7,0.0,none,3700,1358
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-13,5,1,7,1,69.8,0.0,none,3700,3585
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-14,6,1,7,1,74.0,0.0,none,3700,4823
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-15,0,0,7,1,68.8,0.0,none,3700,4982
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-16,1,0,7,1,71.4,0.0,none,3700,4769
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-17,2,0,7,1,74.0,0.0,none,3700,4519
